video_name,optimal_crf,optimal_preset,quality_score,file_size_mb,edge_density,motion_score,brightness,color_variance,resolution,fps,duration
video_061.mp4,30,faster,93.10360000000001,5.2604169845581055,0.011201565715020574,0.04043925345787527,0.42117891047365447,0.37924374397699195,2073600,29.97002997002997,28.461766666666666
video_062.mp4,30,faster,97.29220000000002,1.9665851593017578,0.001432016093474427,0.008225667687628321,0.42453905973075956,0.31758612061406394,2073600,23.976023976023978,26.77675
video_063.mp4,30,faster,92.4847,0.8541250228881836,0.004277464313271605,0.01875244983476831,0.3332698267482147,0.2709548106247801,921600,29.97002997002997,25.191833333333335
video_064.mp4,26,faster,90.83380000000002,15.362934112548828,0.11905494893193636,0.11238793797882851,0.33944828539867056,0.18905446688438549,2073600,24.0,37.375
video_065.mp4,30,medium,90.7612,5.441450119018555,0.02578146618241805,0.08097261322545993,0.4835748617215085,0.2773893911773809,2073600,23.976023976023978,27.235541666666666
video_066.mp4,28,fast,91.345,15.86397933959961,0.14963528514309762,0.06841864142213598,0.33736063178077075,0.21658728654790388,2073600,29.97002997002997,31.66496666666667
video_067.mp4,26,faster,90.83380000000002,15.362934112548828,0.11905494893193636,0.11238793797882851,0.33944828539867056,0.18905446688438549,2073600,24.0,37.375
video_068.mp4,28,fast,90.736,9.545402526855469,0.11940916904956428,0.030389394925104347,0.4674713413733322,0.18686725280354222,2073600,29.97002997002997,32.4324
video_069.mp4,30,fast,90.4846,3.6366233825683594,0.10846572687596451,0.025808877336777006,0.3859607842546259,0.22562082321010807,2073600,29.97002997002997,30.797433333333334
video_070.mp4,30,medium,92.0503,6.915713310241699,0.03317216435185185,0.10671540324835767,0.4365963946381022,0.2081939384686066,2073600,24.0,29.125
video_071.mp4,24,medium,92.245,18.049236297607422,0.003073781396338867,0.10276995062106634,0.6367435023977662,0.13543435673537732,2073600,24.0,28.666666666666668
video_072.mp4,30,faster,92.2243,6.6119585037231445,0.023149836033950617,0.026256988789555836,0.09300491967491728,0.15533212449986694,2073600,30.0,30.0
video_073.mp4,30,faster,97.47190000000002,3.0637969970703125,0.010018981481481481,0.05203509785955277,0.1463108551198257,0.20892610535694342,2073600,25.0,24.88
video_074.mp4,30,faster,91.75210000000001,3.0236215591430664,0.014471225565843624,0.06023871084326664,0.36163909446108694,0.23449749072598042,2073600,29.97002997002997,28.261566666666667
video_075.mp4,26,fast,90.77380000000002,27.706144332885742,0.010878283339763374,0.020634361481262367,0.5271166619071754,0.16079203758681446,8294400,23.976023976023978,27.902874999999998
video_076.mp4,28,faster,90.83020000000002,12.645761489868164,0.06088283316798941,0.18596534130770503,0.4455612742396341,0.24721791949445895,2073600,25.0,27.2
video_077.mp4,30,medium,93.0931,9.694167137145996,0.020422084921931732,0.15805833038766387,0.5085953052801095,0.2222376626015385,2073600,24.0,33.666666666666664
video_078.mp4,28,medium,91.65820000000001,19.513705253601074,0.04627881462191358,0.15901120041181546,0.32657709542512026,0.2660745401670429,2073600,23.976023976023978,30.32195833333333
video_079.mp4,30,faster,96.19090000000003,0.6095609664916992,0.0026240273127480155,0.006250857141821492,0.2087107449406991,0.13533804453666962,2211840,25.0,27.48
video_080.mp4,30,medium,94.84570000000001,4.884140968322754,0.008141296828437632,0.16402776919988674,0.5966321934292023,0.24013993303054176,2073600,25.0,28.04
video_081.mp4,26,faster,91.36840000000001,10.153069496154785,0.04086754115226336,0.11137866153671984,0.3207682028791455,0.1543350578170622,2073600,24.0,29.083333333333332
video_082.mp4,30,medium,94.417,5.858747482299805,0.003090739936985597,0.0953819849699139,0.3420625726137613,0.21611506280294931,2211840,24.0,35.208333333333336
video_083.mp4,30,faster,95.62060000000001,2.109227180480957,0.005132625078914142,0.026942460801866318,0.6700278968044587,0.15011075980625724,2211840,25.0,32.12
video_084.mp4,30,faster,94.17160000000001,3.0423049926757812,0.012975174300044093,0.07377477709190672,0.3798380344904165,0.2652725716268767,2073600,30.0,27.633333333333333
video_085.mp4,30,medium,93.4738,4.987235069274902,0.006580172242134609,0.09340435830710886,0.4284203984087661,0.219746174932902,2073600,23.976023976023978,29.738041666666664
